esox lucius,41,1.54,2.44%,9.52%,00:09:48,5.93
Bombina variegata,37,2.54,0.00%,46.81%,00:21:24,24.81
Algyroides marchi,34,1.44,2.94%,2.04%,00:21:01,7.03
puma concolor,31,2.29,3.23%,26.76%,00:20:27,15.52
sorbus aria,29,1.48,3.45%,6.98%,00:03:48,2.07
panthera onca,27,2.33,11.11%,22.22%,00:14:25,11.33
Enoplea,22,1.45,81.82%,3.12%,00:03:12,1.18
gammarus locusta,20,2.00,0.00%,30.00%,00:42:29,13.25
Turbellaria,20,1.30,90.00%,0.00%,00:00:08,0.35
bullfrog,19,1.58,0.00%,16.67%,00:13:51,4.26
canis lupus,19,1.37,5.26%,34.62%,00:09:55,7.89
Gammarus locusta,18,1.78,0.00%,31.25%,00:37:44,16.17
Castor fiber,17,2.47,0.00%,57.14%,00:22:47,35.18
elephant,17,2.00,0.00%,23.53%,00:14:17,6.12
Esox lucius,17,1.24,0.00%,14.29%,00:13:21,6.29
lynx pardinus,17,1.47,5.88%,20.00%,00:06:20,4.29
passeridae,17,3.82,0.00%,4.62%,00:20:06,11.06
Chromadorea,16,1.31,62.50%,4.76%,00:05:29,0.94
Sorbus aria,16,1.56,12.50%,12.00%,00:07:39,4.88
Angraecum aviceps,15,1.00,26.67%,73.33%,00:17:53,0.00
canis latrans,15,3.00,6.67%,22.22%,00:18:32,12.00
quercus ilex,15,2.13,0.00%,37.50%,00:10:19,5.00
Bryum algovicum,14,1.57,0.00%,95.45%,00:08:14,0.00
Bullfrog,14,2.57,0.00%,11.11%,00:13:11,5.93
homo sapiens,14,1.50,7.14%,57.14%,00:06:30,5.43
tiger,14,1.93,0.00%,40.74%,00:05:38,5.86
Xanthomonas campestris pv. betae,14,1.00,57.14%,0.00%,00:00:01,0.43
aedes,13,2.38,0.00%,29.03%,00:02:12,3.46
Cottus gobio,13,2.54,7.69%,42.42%,00:11:01,19.69
"dominicanus Van Doesburg, 1953",13,1.00,69.23%,15.38%,00:12:50,0.31
Lynx pardinus,13,1.77,7.69%,39.13%,00:02:40,3.38
castor fiber,12,2.33,0.00%,50.00%,00:19:19,16.17
claytonia perfoliata,12,1.58,83.33%,15.79%,00:03:19,1.33
lion,12,1.42,8.33%,23.53%,00:09:15,5.58
Triturus cristatus,12,2.67,8.33%,43.75%,00:14:33,23.25
Aedes aegypti,11,1.64,0.00%,50.00%,00:18:38,9.64
aves,11,1.18,0.00%,15.38%,00:36:20,8.45
Carcharodon carcharias,11,1.27,63.64%,21.43%,00:07:04,2.09
Haliaeetus leucocephalus,11,1.55,9.09%,35.29%,00:14:20,4.18
lynx,11,1.09,0.00%,41.67%,00:09:03,1.64
Plantae,11,1.73,45.45%,21.05%,00:10:21,4.09
Thomasomys,11,3.09,9.09%,2.94%,01:06:57,19.82
Acacia bahiensis,10,1.00,90.00%,10.00%,00:02:30,1.30
Animalia,10,3.20,20.00%,28.12%,00:19:40,53.80
Apis mellifera,10,1.50,20.00%,40.00%,00:03:18,5.10
Apteryx,10,1.20,0.00%,8.33%,00:05:27,6.30
Balaenoptera musculus,10,1.40,0.00%,42.86%,00:00:52,1.10
Canis lupus,10,3.20,10.00%,21.88%,00:19:06,17.40
eledone moschata,10,1.70,0.00%,52.94%,00:04:16,9.80
galium viridiflorum,10,1.90,0.00%,36.84%,00:33:39,35.10
Homo sapiens,10,1.20,0.00%,50.00%,00:09:59,1.40
Lumbricidae,10,1.80,80.00%,0.00%,00:01:03,1.10
lutra lutra,10,2.10,10.00%,33.33%,00:10:02,8.00
macaca sylvanus,10,1.40,0.00%,0.00%,00:14:01,11.10
myotis myotis,10,1.50,0.00%,40.00%,00:13:05,19.00
OPILIOACARIDA,10,1.50,0.00%,0.00%,00:10:32,6.40
Orcinus orca,10,1.60,40.00%,37.50%,00:02:10,0.90
panthera leo,10,2.00,0.00%,25.00%,00:09:18,8.90
Panthera onca,10,1.90,0.00%,36.84%,00:06:35,3.60
pinus,10,1.20,20.00%,41.67%,00:02:43,4.80
Puma concolor,10,1.30,10.00%,30.77%,00:06:57,12.50
Quercus ilex,10,1.40,0.00%,28.57%,00:00:34,1.10
Typha angustifolia,10,1.50,0.00%,20.00%,00:34:29,39.50
Aedes,9,2.56,0.00%,8.70%,00:11:22,10.33
Ageratum conyzoides,9,1.44,0.00%,53.85%,00:11:04,24.44
Amoebozoa,9,1.11,55.56%,20.00%,00:08:33,1.00
apis mellifera,9,1.22,11.11%,45.45%,00:07:20,11.22
ara militaris,9,2.22,0.00%,10.00%,00:18:15,9.11
atriplex halimus,9,1.89,22.22%,35.29%,00:01:31,3.00
cache:to19ZfQER8YJ:www.gbif.org/contact/directory-of-contacts,9,1.00,100.00%,0.00%,00:00:00,0.00
canis rufus,9,1.67,11.11%,6.67%,00:08:41,8.00
citrus latifolia,9,1.89,11.11%,29.41%,00:01:52,1.11
crotalus,9,3.67,0.00%,27.27%,00:18:27,8.89
Cypripedium calceolus,9,2.22,0.00%,40.00%,00:16:32,11.22
marathrum foeniculaceum,9,1.44,0.00%,84.62%,00:13:39,4.00
orcinus orca,9,2.67,11.11%,33.33%,00:08:29,7.44
Panthera leo,9,1.33,0.00%,33.33%,00:02:06,2.56
Picea abies,9,1.67,11.11%,53.33%,00:13:15,3.44
picoides scalaris,9,3.78,22.22%,2.94%,00:09:43,27.56
red panda,9,2.22,0.00%,50.00%,00:11:03,6.56
Ambrosia artemisiifolia,8,1.75,0.00%,50.00%,00:19:22,2.75
Aurelia aurita,8,1.00,87.50%,0.00%,<00:00:01,0.12
bacteria,8,1.75,0.00%,21.43%,00:05:04,11.88
birds,8,2.00,25.00%,31.25%,00:01:35,3.38
calotes versicolor,8,1.62,0.00%,23.08%,00:23:33,23.25
Caretta caretta,8,1.50,37.50%,41.67%,00:05:17,4.62
Cedrela odorata,8,1.75,0.00%,50.00%,00:07:11,2.12
cheetah,8,2.00,12.50%,43.75%,00:03:12,4.00
chiroptera,8,1.62,0.00%,30.77%,00:17:00,21.12
Circus cyaneus,8,1.25,25.00%,30.00%,00:06:47,1.88
cryptazeca monodonta,8,1.75,0.00%,57.14%,00:02:06,1.75
cryptazeca vasconica,8,1.62,0.00%,61.54%,00:00:56,1.38
Cyperus luzulae,8,1.38,37.50%,45.45%,00:16:34,0.88
Dermacoccus nishinomiyaensis,8,2.00,87.50%,6.25%,00:02:30,1.62
elodea nuttallii,8,1.25,0.00%,10.00%,00:12:45,2.88
Erysimum incanum,8,1.38,0.00%,9.09%,00:47:27,55.50
fagus sylvatica,8,1.50,12.50%,33.33%,00:04:30,3.38
fox,8,1.50,0.00%,33.33%,00:04:39,3.75
Guazuma ulmifolia,8,1.62,0.00%,53.85%,00:02:44,1.12
Hapalochlaena maculosa,8,1.25,62.50%,0.00%,00:00:36,0.50
Heliozoa,8,1.38,75.00%,18.18%,00:00:26,0.62
heloderma horridum,8,1.75,0.00%,28.57%,00:05:29,3.88
lepus timidus,8,1.88,0.00%,6.67%,00:06:30,9.88
Lupinus polyphyllus,8,2.25,0.00%,22.22%,00:10:02,5.75
Lutra lutra,8,1.75,0.00%,42.86%,00:04:33,7.12
mola mola,8,1.38,0.00%,27.27%,00:26:22,8.12
mosquito,8,1.75,0.00%,42.86%,00:02:18,3.38
opilioacarida,8,1.50,0.00%,16.67%,00:09:39,7.25
panthera tigris tigris,8,1.25,0.00%,40.00%,00:16:18,11.38
Papilio polyxenes,8,2.12,0.00%,0.00%,00:05:47,10.25
Pistia stratiotes,8,1.62,12.50%,53.85%,00:00:55,0.62
plants,8,1.38,12.50%,27.27%,00:14:26,5.75
Prunus avium,8,1.62,12.50%,53.85%,00:00:43,0.75
Psidium guajava,8,1.75,0.00%,57.14%,00:07:01,1.50
quercus,8,1.50,12.50%,25.00%,00:03:29,3.25
Robinia pseudoacacia,8,2.50,0.00%,20.00%,00:11:04,5.25
suaeda vera,8,1.88,0.00%,60.00%,00:02:34,2.25
sus scrofa,8,2.50,0.00%,15.00%,00:19:15,18.25
trissexodon constrictus,8,1.75,0.00%,64.29%,00:01:37,1.62
Unio crassus,8,1.50,0.00%,66.67%,00:19:44,20.50
ursus americanus,8,1.25,0.00%,10.00%,00:10:04,6.75
Ursus arctos,8,2.38,0.00%,42.11%,00:15:33,7.88
Ximenia americana,8,2.38,12.50%,36.84%,00:17:14,1.88
abies alba,7,1.43,0.00%,50.00%,00:02:23,1.71
acroporium,7,2.57,42.86%,0.00%,00:32:15,16.29
aedes aegypti,7,2.00,0.00%,35.71%,00:10:28,8.86
Agave americana,7,1.29,0.00%,33.33%,00:11:02,3.86
algyroides marchi,7,1.43,14.29%,0.00%,00:05:03,3.71
Alternanthera philoxeroides,7,1.29,0.00%,55.56%,00:04:21,2.00
anastrepha fraterculus,7,1.14,85.71%,12.50%,00:04:04,0.29
Anoura geoffroyi,7,1.57,0.00%,45.45%,00:05:42,7.14
apteryx,7,1.00,0.00%,0.00%,00:17:43,9.71
axis axis,7,1.29,0.00%,44.44%,00:04:06,6.29
Barbastella barbastellus,7,1.43,0.00%,80.00%,00:07:37,8.71
bombina variegata,7,2.29,0.00%,37.50%,00:13:49,16.71
bombus,7,1.43,14.29%,50.00%,00:01:20,2.29
Callospermophilus lateralis,7,4.57,0.00%,28.12%,00:09:03,2.43
Cedrus atlantica,7,1.71,14.29%,58.33%,00:01:08,1.00
Ceiba pentandra,7,1.57,0.00%,63.64%,00:09:07,1.14
colombia,7,1.43,0.00%,20.00%,00:08:44,14.86
Crocodylus acutus,7,1.57,0.00%,54.55%,00:11:46,4.14
crocus,7,31.71,28.57%,3.15%,01:27:42,15.14
Cupriavidus pauculus,7,1.29,100.00%,0.00%,00:00:15,0.29
didelphis,7,1.57,14.29%,36.36%,00:14:32,2.86
Diplodia_maydis,7,2.00,57.14%,0.00%,00:04:19,1.00
Eucalyptus,7,1.86,28.57%,15.38%,00:06:27,1.86
Euphausia superba,7,2.00,42.86%,14.29%,00:08:53,2.71
